symbol,name,price,pct_change,market_cap,security_type,last_close,last_volume,avg_volume_20d,volume_ratio,day_change_pct,score,reasons,float_shares
IVDAW,"Iveda Solutions, Inc. Warrant",0.0273,-16.514,304115.0,Warrant,,,,,,13.0,"['Low float (10.7M sh)', 'Micro-cap (<$50M)']",10705461.0
KTTAW,Pasithea Therapeutics Corp. Warrant,0.0071,-27.551,237243.0,Warrant,,,,,,13.0,"['Low float (16.6M sh)', 'Micro-cap (<$50M)']",16624022.0
FLD,"Fold Holdings, Inc. Class A Common Stock",0.464,5.455,23563474.0,Common,0.46399998664855957,526800.0,298815.0,1.762963706641233,5.45454299154359,12.6,"['Volume 1.8x 20d avg', 'Micro-cap (<$50M)']",
IPDN,"Professional Diversity Network, Inc. Common Stock",0.39,-4.341,5003826.0,Common,0.38999998569488525,108100.0,61395.0,1.7607297011157261,-4.87805143982653,12.6,"['Volume 1.8x 20d avg', 'Micro-cap (<$50M)']",
SOBR,"SOBR Safe, Inc. Common Stock",0.5775,-14.948,1620799.0,Common,0.578000009059906,1092500.0,24889570.0,0.04389388808243774,-14.87481708221666,12.4,"['Day change -14.9%', 'Micro-cap (<$50M)']",
HPAI,Helport AI Limited Ordinary Shares,0.5172,14.908,19470982.0,Common,0.5170000195503235,277500.0,640000.0,0.43359375,14.888896276921598,12.4,"['Day change +14.9%', 'Micro-cap (<$50M)']",
CNET,ZW Data Action Technologies Inc. Common Stock,0.96,-13.514,3694492.0,Common,0.9599999785423279,7300.0,225140.0,0.032424269343519586,-13.513516561230885,11.8,"['Day change -13.5%', 'Micro-cap (<$50M)']",
ONFO,Onfolio Holdings Inc. Common Stock,0.1099,-13.191,773732.0,Common,0.10999999940395355,3615700.0,11345060.0,0.31870258949710273,-13.385830005211885,11.7,"['Day change -13.4%', 'Micro-cap (<$50M)']",
FBGL,FBS Global Limited Ordinary Shares,0.5379,-13.228,7193492.0,Common,0.5379999876022339,79000.0,933385.0,0.08463817181548879,-13.225809118626126,11.6,"['Day change -13.2%', 'Micro-cap (<$50M)']",
MYSEW,"Myseum.AI, Inc. Series A Warrant",0.0402,-12.035,208896.0,Warrant,0.03999999910593033,200.0,875.0,0.22857142857142856,-13.043480373510564,11.5,"['Day change -13.0%', 'Micro-cap (<$50M)']",
BTTC,Black Titan Corporation Ordinary Shares,0.9164,-12.724,1219026.0,Common,0.9160000085830688,9800.0,56295.0,0.1740829558575362,-12.76189998272033,11.4,"['Day change -12.8%', 'Micro-cap (<$50M)']",
EXYNW,"Exyn Technologies, Inc. Warrant",0.7,7.692,5567770.0,Warrant,0.699999988079071,11000.0,6715.0,1.6381236038719285,7.692309808449005,11.4,"['Volume 1.6x 20d avg', 'Micro-cap (<$50M)']",
LUCYW,"Innovative Eyewear, Inc. Series A Warrants 8/16/27",0.0556,-12.989,356047.0,Warrant,0.0560000017285347,3500.0,9040.0,0.38716814159292035,-12.500001455191454,11.3,"['Day change -12.5%', 'Micro-cap (<$50M)']",
USDEW,StablecoinX Inc. Warrants,0.5649,-11.734,35880527.0,Warrant,0.5600000023841858,179700.0,179423.5294117647,1.0015408825650778,-12.49999767169351,11.2,"['Day change -12.5%', 'Micro-cap (<$50M)']",
VSEE,"VSee Health, Inc. Common Stock",0.08,-11.602,4454385.0,Common,0.07999999821186066,3891400.0,3422585.0,1.1369768756656153,-12.087912267856074,11.0,"['Day change -12.1%', 'Micro-cap (<$50M)']",
TRAW,"Traws Pharma, Inc. Common Stock",0.5423,-10.6,8258322.0,Common,0.5400000214576721,204200.0,168890.0,1.2090709929539938,-11.475408394405292,10.7,"['Day change -11.5%', 'Micro-cap (<$50M)']",
SURG,"SurgePays, Inc. Common Stock",0.2623,-11.295,6589473.0,Common,0.2619999945163727,1954500.0,13639500.0,0.14329704168041352,-11.486489479780333,10.7,"['Day change -11.5%', 'Micro-cap (<$50M)']",
POM,POMDOCTOR LIMITED American Depositary Shares,0.8011,-11.088,5972403.0,ADS/ADR,0.8009999990463257,18000.0,66705.0,0.26984483921744995,-11.098781498507039,10.5,"['Day change -11.1%', 'Micro-cap (<$50M)']",
CCGWW,Cheche Group Inc. Warrant,0.014,-6.04,35076.0,Warrant,0.014000000432133675,17800.0,11565.0,1.5391266753134458,-6.666661699612825,10.4,"['Volume 1.5x 20d avg', 'Micro-cap (<$50M)']",
NRSN,NeuroSense Therapeutics Ltd. Ordinary Shares,0.65,-7.143,22977378.0,Common,0.6499999761581421,239600.0,155905.0,1.536833327988198,-7.142858967489158,10.4,"['Volume 1.5x 20d avg', 'Micro-cap (<$50M)']",
LOBO,LOBO TECHNOLOGIES LTD. Class A Ordinary Shares,0.7999,10.82,11072166.0,Common,0.800000011920929,248000.0,284855.0,0.8706183847922627,10.803325311747976,10.4,"['Day change +10.8%', 'Micro-cap (<$50M)']",
GIPR,Generation Income Properties Inc. Common Stock,0.9014,-10.752,928804.0,Common,0.9010000228881836,505100.0,834637.0,0.6051732669411972,-10.79207609943424,10.4,"['Day change -10.8%', 'Micro-cap (<$50M)']",
MGN,Megan Holdings Limited Class A Ordinary Shares,0.0912,-10.85,1482000.0,Common,0.09099999815225601,1566900.0,28650820.0,0.054689534191342516,-10.78431386871551,10.4,"['Day change -10.8%', 'Micro-cap (<$50M)']",
JYD,Jayud Global Logistics Limited Class A Ordinary Shares,0.824,9.984,6838294.0,Common,0.8240000009536743,104500.0,224075.0,0.46636170924913534,10.013349371147134,10.0,"['Day change +10.0%', 'Micro-cap (<$50M)']",
CYAB,"Cyabra, Inc. Common Stock",0.2849,-6.987,4006888.0,Common,0.2800000011920929,59300.0,231330.0,0.256343751350884,-9.677419664956526,9.8,"['Day change -9.7%', 'Micro-cap (<$50M)']",
GRML,Greenland Mines Ltd. Common Stock,0.2224,-9.224,26963478.0,Common,0.22200000286102295,4996800.0,8244415.0,0.6060830271159324,-9.387755697839003,9.7,"['Day change -9.4%', 'Micro-cap (<$50M)']",
DBGI,"Digital Brands Group, Inc. Common Stock",0.4949,5.298,11375553.0,Common,0.6359000205993652,290855.0,803892.55,0.36180830385851936,-9.403046621888313,9.7,"['Day change -9.4%', 'Micro-cap (<$50M)']",
SCAG,Scage Future American Depositary Shares,0.3548,9.169,25761909.0,ADS/ADR,0.35499998927116394,195400.0,7914915.0,0.02468756771235067,9.230769936149668,9.6,"['Day change +9.2%', 'Micro-cap (<$50M)']",
RCT,RedCloud Holdings plc Ordinary Shares,0.2184,-8.81,12964666.0,Common,0.21799999475479126,1097100.0,18108575.0,0.060584557316078154,-9.1666668218871,9.6,"['Day change -9.2%', 'Micro-cap (<$50M)']",
IZM,ICZOOM Group Inc. Class A Ordinary Shares,0.2833,-8.907,3404731.0,Common,0.28299999237060547,241800.0,1738135.0,0.13911462573390446,-9.003214817830184,9.5,"['Day change -9.0%', 'Micro-cap (<$50M)']",
NEON,Neonode Inc. Common Stock,0.82,-9.182,13761996.0,Common,0.8199999928474426,123600.0,256265.0,0.4823132304450471,-8.88888726999726,9.4,"['Day change -8.9%', 'Micro-cap (<$50M)']",
ABLV,Able View Global Inc. Class B Ordinary Shares,0.93,-8.824,45932627.0,Common,0.9300000071525574,30600.0,81415.0,0.3758521157034944,-8.823527005579463,9.4,"['Day change -8.8%', 'Micro-cap (<$50M)']",
YDKG,Yueda Digital Holding Class A Ordinary Share,0.9639,-8.2,5329585.0,Common,0.9599999785423279,33000.0,29760.0,1.1088709677419355,-8.571426462964851,9.3,"['Day change -8.6%', 'Micro-cap (<$50M)']",
MGRX,"Mangoceuticals, Inc. Common Stock",0.511,8.493,8772553.0,Common,0.5109999775886536,1029100.0,1083575.0,0.9497265994508918,8.492567484070785,9.2,"['Day change +8.5%', 'Micro-cap (<$50M)']",
GSUN,Golden Sun Technology Group Limited Class A Ordinary Shares,0.2743,8.419,2750919.0,Common,0.27399998903274536,3992900.0,9184925.0,0.4347232013326184,8.300394698202002,9.2,"['Day change +8.3%', 'Micro-cap (<$50M)']",
TLSA,Tiziana Life Sciences Ltd. Common Shares,0.945,-5.5,120259879.0,Common,0.949999988079071,417700.0,224150.0,1.8634842739237119,-5.0000011920928955,8.6,['Volume 1.9x 20d avg'],
ALISR,Calisa Acquisition Corp Right,0.5011,-33.892,,Right,,,,,,8.0,['Low float (6.2M sh)'],6235002.0
FACTW,FACT II Acquisition Corp. Warrant,0.18,-60.878,,Warrant,,,,,,8.0,['Low float (15.3M sh)'],15330058.0
